nama_penulis,rating,teks_ulasan,waktu,likes,sentimen
Khoirul Misbah,5.0,Baguss,3 years ago,0,Positif
 Febrian Dwi Purnama,5.0,Rekomendasi Laptop 2nd paling mantap,3 years ago,0,Positif
isa setyawan,5.0,"Kualitas laptopnya joss bgt like NEW!!! pemberian garansi 1thn bener"" Sangat membantu dan juga yg terpenting HARGA nya yg JAUH Lebih MURAH dr harga normal tapi kondisi nya masih JOS!!!
RECOMENDED BANGET POKOK E",10 months ago,0,Positif
Auryn Hanselino,5.0,Mantab rekomendasi,a year ago,0,Positif
putri zaitun nisa,5.0,"Harga affordable, barang up date pelayanan ok bangettt",2 months ago,0,Positif
Andika Ronaldo,5.0,Uademmm & recommended buat yg cari laptop,2 years ago,0,Positif
Yasinta Astrid Susanti,5.0,"thankyou hero computer😊 pelayanan ramah, detail, dan worth it for unitnya 🙏🏻",3 months ago,0,Positif
Muhammad Titan Ardhana Maheswara,5.0,"Tempat cari gadget recomended banget, khusunya laptop. cari laptop second disini, dibantu kasih rekomendasi sama mas mas pegawainya. Pelayanan super ramah, dan sangat membantu menentukan pilihan.",2 years ago,0,Positif
MUH RIFALDY TAKAPENTE,5.0,"Mantappl
Pelayanan terbaik",2 years ago,0,Positif
Ismail,5.0,rekomendedd buat yang nyarii laptop,a year ago,0,Positif
Akhy Putra,5.0,Memuaskan,a year ago,0,Positif
Daqiq F Putri,5.0,"Tempat bagus dan amanah untuk pembelian laptop second, admin juga gercep dan informatif. Sebelum beli boleh tanya-tanya dulu dan booking. Bisa cek di instagram juga unit unitnya atau better bertanya langsung ke adminnya untuk unitnya",a year ago,0,Positif
Alif Haikal,5.0,"harga terbaik, pelayanan ramah, jos pokoke 👍🏻",3 years ago,0,Positif
Alee Wafa,5.0,Cool keren,a year ago,0,Positif
Ikhsanita Mukti Putri,5.0,"Trusted, barang like new semua, bergaransi. Yang jelas harga bisa disesuaikan kantong. Sukses…",a year ago,0,Positif
Pita Dewi,5.0,Ngebantu bgt ini sihh,2 months ago,0,Positif
Pandu Kimmy,5.0,"Lengkap, garansi lama, 100% ori",8 months ago,0,Positif
fahrizal fitriono,5.0,Rekomendasi toko laptop second,2 years ago,0,Positif
Haidarghiffari Adam,5.0,"Pelayanan ramah, own nya menjelaskan detail sesuai kebutuhan laptop yang pengen tak beli. Sukses berkas selalu, Hero Computer. Semoga rezekinya nular.",2 years ago,0,Positif
Septiana Sabila Hasna,5.0,Mantap! Lengkap! Murah!,3 years ago,0,Positif
Sigit Meliyanto,5.0,"Top, beli online , ga perlu cek barang langsung udah dijamin bagus pol..",2 weeks ago,0,Positif
Aqsha Laorens Umami,5.0,"pilihan laptop terpercaya, bagus, dan pastinya juga original serta pemakaian bisa jangka panjang. Jangan lupa berbelanja disini guys.",3 months ago,0,Positif
Ahmad Ali M,5.0,Toko laptop murah. Lengkap bergaransi. Pokoknya laptop mulus banget pelayanan mantap,2 months ago,0,Positif
Purna Karyanto,5.0,Good place.. Terbaikk...,3 months ago,0,Positif
Hilmi Miftahzen Reza,5.0,"Pelayanan ramah, own nya menjelaskan detail sesuai kebutuhan laptop yang pengen tak beli. Sukses berkas selalu, Hero Computer. Semoga rezekinya nular.",7 months ago,0,Positif
Guntur Wahyu,5.0,"kakak nya ramah banget, nanya apa aja dijawab. laptop second tapi kondisinya kayak barang baru, untuk harganya jangan ditanyakan lagi deh. the best pokoknya. lancar terus buat hero komputer 🙏🙏",a year ago,0,Positif
suhud dharmawan,5.0,"Pelayanan terbaik, dapat diskon+dapat bonus",a year ago,0,Positif
Dimas Bayu,5.0,Keren lengkap seri nya,2 years ago,0,Positif
Wafa Wardana,5.0,Terbaik. Pilihan utama laptop secondhand berkualitas. Dijelaskan oleh mas nya dgn sabar dan jujur. Offline store nyaman dan sejuk. Top markotop,4 months ago,0,Positif
Septiana Sabila Hasna,5.0,Mantap! Lengkap! Murah!,5 months ago,0,Positif
Elfira Syahratul,5.0,"mantap👍 pelayanannya bagus, penjualnya ramah banget, mau jelasin banyak, harga untuk laptop bekas yg kaya laptop baru worth it bangett, cocok banget buat yg mau cari laptop bekas tapi kaya baruu. kereen🤩",2 years ago,0,Positif
Joseph Gerung,5.0,pegawai nya ramah sekali terus dijelaskan secara detail semua jadinya mudah dimengerti dan laptop nya lengkap sekali,a week ago,0,Positif
 Febrian Dwi Purnama,5.0,Rekomendasi Laptop 2nd paling mantap,Edited 11 months ago,0,Positif
AGHISNA RIZKA,5.0,Cari laptop yang bekas tapi bagus terawat dan terpercaya disini solusinya. Puas sekali dengan laptop yang didapat.,3 months ago,0,Positif
Septia Wulan,5.0,"Toko terpercaya barangnya masih bagus dan mulus dikasih bonusnya juga, kakaknya juga ramah dan fast respon.",4 years ago,0,Positif
Aisa k. dela,5.0,laptop second garansi recommended,a year ago,0,Positif
Hasan Riyanto,5.0,"Barang istimewa.
Pelayanan super ramah.

Makasih mas.
Sukses teruss",4 years ago,0,Positif
Abram Dewantoro,5.0,"Offline store dari ignya : laptopbekasyogyakarta.id bekas berkualitas, barangnya manteb manteb, mantau terus ignya tiap ada postingan baru, kalo ngga cepet cepet nge booking bisa keduluan orang lain, hasil buruan pun dapet disini tuff f15 jauh lebih hemat dari beli baru, padahal barang 98% like new",3 years ago,0,Positif
Arma Rizki,5.0,"Mantab, kualitas joss",a year ago,0,Positif
hanim usmantoro,5.0,"Pelayanan ramah, langsung direkomendasikan sesuai pengguna dan dibantu juga untuk cek kondisi fisik dan software laptop,, dan satu lagi Minggu tetap buka cocok bagi pekerja kantoran",7 months ago,0,Positif
