nama_penulis,rating,teks_ulasan,waktu,likes,sentimen_label_gemini
MUHAMMAD HIBZAH DASA OKKA,5.0,"Mantap, laptop mereka second hand tapi baramg seperti baru.
Karena mereka memang ambil laptop yang umurnya masih muda, saya beli laptop amd ryzen 7 tahun 2024, di harga 6,7 juta.
Pelayanan excelent, barang juga excelent.
Semoga awet",a month ago,0,Positif
Wafa Wardana,5.0,Terbaik. Pilihan utama laptop secondhand berkualitas. Dijelaskan oleh mas nya dgn sabar dan jujur. Offline store nyaman dan sejuk. Top markotop,4 months ago,0,Positif
Azka Rusyda Farsya Kusmayadi,5.0,"Beli laptop disini udah yang ke 2x nya udah beli 3 unit total, bagus banget tokonya, masnya juga informatif. Good Job!!",2 months ago,0,Positif
neviestaa,5.0,"Pengalaman belanja di Hero bener-bener memuaskan. Dari awal tanya-tanya, adminnya sabar jelasin detail laptop sampai akhirnya aku nemu yang paling pas sama kebutuhan kuliah. Prosesnya cepat, barang datang sesuai deskripsi, kondisi mulus dan ori. Harganya juga lebih bersahabat dibanding toko lain yang aku bandingin sebelumnya. Next kalau upgrade laptop, pasti balik lagi ke Hero",a month ago,0,Positif
Surya Ramadhani,5.0,"Barang-barang yang di jual bagus² dan masih pada mulus², tempet nya nyaman dan penjual nya pada ramah² dan sangat komunikatif",2 months ago,0,Positif
Muhammad Alfian Nurkholis,5.0,"Jual beli laptop second hand bagus.. Offline storenya nyaman, ber-AC. Pelayanannya pun bagus. Alhamdulillah dapat good deal juga 👍",2 months ago,0,Positif
Akmal Soffal,5.0,"Mantap pelayanan ramah, tempat bersih nyaman, unit banyak pilihan sesuai harga dan kebutuhan",2 months ago,0,Positif
Indira Surya,4.0,"Pelayanan oke
Barang ori masih garansi resmi
Sukses selalu",a month ago,0,Positif
Rosa Ochaa,4.0,"Konsultasi cari laptop untuk pekerjaan utama, akhirnya disini menemukan laptop second yg cocok, bagus, dan terpercaya.. untuk menentukan pilihan laptop dibantu oleh staf yg sangat komunikatif dan solutif..  di toko ini rekomendasi utama untuk cari laptop terumama bagi pekerja, mahasiswa, pebisnis, dll.. terima kasih hero computer 🙏😊",5 months ago,0,Positif
Fan Bs.,4.0,"Semua tersedia disini, pelayanannya juga bagus. Di kasih tau apa yang aku ngga tau. Dan harga juga termasuk harga yg bersahabat bgt.",a month ago,0,Positif
Aisya Hanum,4.0,sangat bagus. pelayanan sangat ramah sangat dibantu. tempatnya nyaman dingin. masnya sabar luar biasa. sangat ingormatif🤙🏻💪🏻,a month ago,0,Positif
Irma Novitasari,4.0,"Barang bagus dan kayak baru semua, setelah muter2 akirnya beli disini..mas Rudi seller baik, ramah dan sabar bgt ..good dech pokoknya",4 months ago,0,Netral (Error API)
ida roikhanah,4.0,pertama kali beli laptop second di sini. dapet yang sesuai sama kebutuhan. mas nya yg jaga jelasinnya sabar banget,3 weeks ago,0,Netral (Error API)
Furqon Ahmad Fauzi,5.0,"Alhamdulillah dapet laptop spek bagus dan sesuai kebutuhan, karena disana di paparkan sesuai request pelanggan, jadi enak, bonus juga mouse, tas laptop, kena diskon juga sii,hehe...makasih Hero Computer, semoga laptopnya awet ya.aamiin",5 months ago,0,Netral (Error API)
Sad Polaris,5.0,"Barusan beli latop disini, dan jujur puas banget! Dari awal tanya-tanya, adminnya fast respon dan sabar jelasin. Pilihan laptop banyak, harganya juga oke banget dibanding tempat lain. Proses kirim cepet, laptop langsung nyala tanpa masalah. Pokoknya recommended banget buat yang mau cari laptop tanpa ribet!",5 months ago,0,Netral (Error API)
Alfiyan Fadly,5.0,"Pelayanan ramah, barangnya masih bagus bagus, akses sangat mudah... Saya udah muter2 cari lp bakas tapi yang cukup lengkap cuma di sini",5 months ago,0,Netral (Error API)
Budianto Haris,5.0,"Pelayanan ramah, harga naiss, rekomended sekali untuk nyari laptop second berkualitas dan yg jelas harga menarik",4 months ago,0,Netral (Error API)
fikhri ardiansyah,5.0,"Tempat nyaman, stafnya sabar jelasin spesifikasi laptop, cocok buat yang kurang paham teknologi",a month ago,0,Netral (Error API)
Agung Febri,5.0,"Hero computer emang recomend buat kantong² menengah pelayananya ramah,juooossss pokoke",a week ago,0,Netral (Error API)
