nama_penulis,rating,teks_ulasan,waktu
Arif Fitrianto,5,Cocok di harga,4 hari lalu
jaya mandiri,5,"Barang,komplit dan harga bersaing.
Cuma sayang TDK ada mushola.",seminggu lalu
calista syahira,1,"untuk yang kedua kalinya dapet perlakuan gaenak sama karyawan perempuan baju ijo dilantai 2 bagian baju baju dengan orang yg sama, kalo badmood jangan dilampiasin ke customer dong wkwk gimanasii, dan paling males kalo belanja kosmetik disini karna spgnya pada judes judes, masih aku inget mba mba purbasari yg omongannya ketus bgt naudzubillah, gimanasih manna karyawannya tlg dievaluasi lg attitudenya.",seminggu lalu
Farelliyana putra,5,"Kepada Yth manajemen mirota kampus godean
minta tolong untuk AC nya di betulkan setiap bulan belanja disini selalu panas tidak dingin sama sekali dan disini sudah tersedia self service kassa tapi gapernah aktif kenapa ya? ini sangat membantu sekali jadi tidak perlu antri yg sangat panjang karena ga semua kasir buka makanya antrian panjang",seminggu lalu
sula njari,5,Harga murah...KLO pas tnggal muda ramai sekali...,seminggu lalu
yafia fajrin,5,"Enak buat belanja bulanan dibanding Manna kampus lain karena lebih luas, kasir nya banyak jadi ga terlalu antri. Pilihan sectionnya juga bermacam, sering diskon juga",2 minggu lalu
Eyfa Syukron,1,"Belanja lengkap murah tapi sayangnya tempat parkirnya terbatas, harus antri lama kalo parkir mobil susah",2 minggu lalu
Nur Haziza,5,Saya suka sekali belanja di mirotaa,2 minggu lalu
M Iswahyudi,5,"Menjadi pusat belanja one-stop-shopping yang sangat diandalkan dan memberikan manfaat kelengkapan produk bagi masyarakat di sekitar Godean dan Yogyakarta Barat. Keunggulan utamanya terletak pada variasi barang yang sangat beragam, mulai dari kebutuhan pokok, sayuran segar, fashion, hingga alat rumah tangga dan kosmetik, semua tersedia di satu tempat dengan harga yang kompetitif. Tempat ini memberikan manfaat kenyamanan berbelanja karena memiliki area parkir yang luas, mushola, dan toilet yang bersih, membuat sesi belanja kebutuhan bulanan terasa lebih santai. Bagi pelanggan setia, program loyalitas dan undian berhadiah yang rutin diadakan juga menjadi nilai tambah yang menarik, menjadikan Manna Kampus Godean sebagai rumah belanja terpercaya dan selalu ramai.",2 minggu lalu
Steven,5,"tadi pagi mampir ke sini, ramai sekali

harga nya bener bener murahh. sukses selaluuuu",2 minggu lalu
rans akunting,5,"Tempatnya cukup luas, lengkap banget dari makanan sampai printilan rumah tangga juga ada dengan harga terjangkau. Cuman kalo lagi jam pulang kerja atau weekend pasti rame, antri di kasirnya bisa setengah jam lebih",3 minggu lalu
Susanna Nugroho,5,"Tempat belanja yang lengkap, luas dan nyaman.",3 minggu lalu
"herjunot ""CUKURUKUK"" ali putra programer tutorial hunter",5,"Recomend banget buat tempat wisata kalau liburan ke jogja ke sini aja asik banget lo musiknya enak banget.... KALO KE JOGJA YA KE MANA KAMPUS PASTI ADA YANG LUAR BIASA MURAH

#BISMILAH DISKON BESAR
#AKUMANA",3 minggu lalu
Vinantya kristy,5,Enak sesuai selera dan ramah dikantong,3 minggu lalu
Arie Hadyanto,5,"Harga murah. Hanya bbrp kali belanja dsini hawa nya panas, kurang nyaman utk berbelanja lama",3 minggu lalu
No Name,5,Harga murah dan banyak promo. Pegawainya juga ramah2. Mantap,sebulan lalu
Nur Rachmaa,5,"Toko langganan sejak masih SMP sampe sekarang udah ada krucil, super lengkap dengan herga murah dan terjangkau. Kerap ada diskon jugaa. Worth it pwoll",sebulan lalu
Nia_spt nia (Septinia),5,"Waduh....waduh....Waduh...... Waduh.... Bocor lagi, bocor lagi. Pasti deh kayak gini. Kalau dah masuk di mirota selalu bocor dwitnya.

Habisnya murah2 semua brg keperluannya. Recoment banget buat tempat belanja. Apa2 ada disana. Cukup sekali kunjungan, dpt semua barang.

Makanan2 jg komplit, dr yg trend masa kini & yg jadul2 lengkap. Gak pernah juga ketinggalan, sllu beli tape singkong mentega madu. Produksi home made sprtinya, namun rasanya gak ketinggalan lezatnya. Manisnya pas dilidah, gak bikin enek, beda dg yg pakai pemanis2 gitu. Yg bikin serek. Inituh udah enak, gak berserat lagi. Jdnya, gak ada yg dibuang kecuali bungkusnya. Gitu aja sih mirota. Tks memberikan pelayanan terbaik. ",sebulan lalu
Anggraini Nur Rachmawati,5,Komplit dan selalu ada promo. ,sebulan lalu
Aprellia Puspitaningsih,5,Murahh nyaman bersih,sebulan lalu
