nama_penulis,rating,teks_ulasan,waktu
Navi,5,"Tempat cukup luas, pelayanan ramah & cekatan",1 hari lalu
Freeman 51355,5,Sering ada promo,3 hari lalu
Arum Loka Cintya,2,Suka belanja di mirota apalagi ini dekat tp tolong paling tidak disediakan wifi disana sama sekali tidak ada sinyal jadi kalau mau bayar pakai hp susah,3 hari lalu
Dwi Arfian,4,"Cukup lengkap meskipun ga selengkap yg di UGM karena dekat dengan warga Palagan dan sekitarnya. Okelah buat belanja harian/bulanan, mirota tetaplah mirota.",seminggu lalu
Hidan Tecers,5,Tempatnya kurang besar dan ramai sekali tapi kasirnya banyak walau pas bayar kelihatan antri panjang tapi cepet karena kasirnya banyak,seminggu lalu
Me Min,5,Murah dan bermutu,seminggu lalu
Septia Yudha Rennaningtyas,4,Ga sekomplit terban,Diedit seminggu lalu
Arie Budie Santosa,4,Lengkap dan murah,Diedit seminggu lalu
mii cin,5,Kalo belanja selalu langganan ke sini krn harganya yg terjangkau dan kadang masi ada promo,seminggu lalu
sutari windyastuti,1,"Nitip helm di penitipan barang ga boleh sama satpam yg tugas sore gantiin jaga penitipan jam 18.00 , suruh taruh di pintu masuk, terus kalau helm saya hilang satpamnya mau tanggung jawab? alesan ga boleh nitip krn ga ada tempat, jelas jelas masih banyak laci kosong krn hujan deress
Giliran bawa tas gede dikit suruh nitipin dikira mau nyolong hahaha",2 minggu lalu
Carolina Putri Nugraheni Putri,1,"Lahan parkir sempit, pelanggan setia merota tapi cuman pelayanan di merota palagan yang judes"" dan kasir kurang satset hmm tolong diperbaiki",2 minggu lalu
Gieya,5,"manna kampus palagan saling melengkapi dg manna kampus terban,ada barang yg disana gak ada,disini ada,contohnya kecap lele",Diedit 2 minggu lalu
Brastina Marya Dewi,5,"Tempat belanja yg banyak promonya, tiap ksini item paling dicari adalah short slice beef soalnya paling murah seJogja raya kayanya",3 minggu lalu
Hamon Jalan Jalan,4,"Salah satu swalayan dan tempat berbelanja yang lumayan lengkap, ada pecah belah, buah buahan, kue, dan beberapa pakaian. Disini juga sedia Aat tulis kantor juga.",Diedit 3 minggu lalu
zalfafauziah ramadhani,4,permisi mau tanya di manna kampus ada essensial oil tidak ya?,sebulan lalu
Hana Wahyu Triani,5,"Dari awal pertama ngekost sampai sebentar lagi mau beres rantau aku selalu beli barang kebutuhan disini khususnya barang-barang kebutuhan rumah tangga, cemilan, belanja bulanan, sampe barang atk & brg2 lucuuu byk yg aku beli disini. Harganya terjangkauuu, Suak banyak diskon dan selalu penuh sama byk konsumen apalagi kalo weekend. Pelayanan staffnya juga bagus, ramah, aku beberapa kali nanya brg yg aku cari juga dibantu dengan baik. Makasi udha mempermudah kehidupan aku as anak kost Manna kampusss, sukses selaluuuu",sebulan lalu
Ridho Ardianto,5,lengkap,sebulan lalu
Sem Ricardo Siregar,5,Tempat belanja bulanan bersama istri tercinta,sebulan lalu
