nama_penulis,rating,teks_ulasan,waktu
Van Andreaz 76,1,"Hari jum.at .. cheker penerimaan cm 1.
Suplier menumpuk...

DONG PO RA E
SEMUA PADA SETENGAH HARI .. KURANG SDM ? ATAU GMN ..",17 menit lalu
Dapuraneka Rasa,5,Tempat belanja terbaik dan terlengkap di kota Yogyakarta,12 jam lalu
nana Chan,4,"Jaman kuliah belanja bulanan ke sini terusss, skrng jd turis lokal tetep belanja cemilan di sini, isi nya lengkap, murah juga",13 jam lalu
Kelik Cakra Putu,5,Ok,Diedit 1 hari lalu
Takana Massage Yogyakarta,5,Komplit,2 hari lalu
M. Khoirul Adib,5,"Harga sangat terjangkau, banyak promo, tempat nyaman meskipun ramai pengunjung, parkiran luas, pelayanan top",2 hari lalu
sumber tirta,5,komplit,3 hari lalu
Afif Sallatu,2,"Senin, 15 Desember 2025 (14:25).

Batal beli telur karena pas sudah depan bagian penimbangan si mbak PSG langsung nyuruh ngikat sendiri dulu telurnya. Padahal disediakan alat plester instan untuk ngikat, dan caranya sangat tidak melayani.",3 hari lalu
Steven Stefanus,5,Krennn,4 hari lalu
Nina Nur,5,Tempat belanja terbaik pelayanan the best,seminggu lalu
Septia Yudha Rennaningtyas,5,"Komplit, murah, tapi susah dpt parkir mobil",seminggu lalu
Kenzo Keyla,5,"Surga dunia bagi para IRT dan anak kost, karena lengkap dan yang pasti harganya murah, apalagi klo pas promo",seminggu lalu
akhsin muflikhun,5,Belanja mantabbb dan mentenangkan ,seminggu lalu
De Royal Wellness Yogyakarta,5,Tempat favourite belanja mahasiswa dan emak emak,seminggu lalu
Amagraph Production,5,"Murah, lengkap",seminggu lalu
Qarry Aina Shafira N,5,"Dulu sering belanja kesini, karena tinggal jalan kaki saja.",2 minggu lalu
Muhammad Yazid Zidan,5,Lengkap pelayanan cepat dan nyaman,2 minggu lalu
Ginanjar Rizki Danang Prasetyo,5,"Tempatnya lengkap, banyak diskon cocok untuk mahasiswa,",2 minggu lalu
Amalia Rizki Ardiansyah,3,"Dari dulu selalu menjadi tempat belanja favorit, harga murah, lengkap. Namun sayang seribu sayang, seringkali saya mendapatkan 'bentakan halus' entah dari pegawai yang mendorong barang maupun yang berada di antara display produk.
Biasanya saya abaikan, namun entah mengapa hari ini rasanya begitu menyakitkan. Iya sih, bilang maaf permisi, tapi wajahnya super jutek dan bikin orang serasa seonggok daging tak berguna. Padahal bisa kan menyampaikan dengan seutas senyum, toh bukannya tidak menyingkir tapi memang space sempit jadi butuh waktu untuk pindah. Apalagi yang bagian memfoto2 produk, sudah jelas saya datang duluan mau mengambil produk di rak tsb, dengan luar biasa jutek beliau bilang 'sebentar ya buk' hanya untuk mengambil foto, alias disuruh menyingkir. Padahal kalau ramah, pelanggan juga sama-sama mengerti dengan tugas mereka. Tolong diperbaiki pelayanannya. Semoga masukan ini diterima ya. Terima kasih.",2 minggu lalu
umi nurrosidah,5,Supermarket lengkap murah dan selalu ramai. Selalu ada undian. Konsisten untuk pelanggan.,2 minggu lalu
Hirrah Malika Fonda,4,"tanggal muda ke sini rame puollllll, tempatnya juga rada sempit jadi umpek-umpekan sesama pembeli ",2 minggu lalu
PS,1,"Harganya memang terjangkau, mirip sama pamela. Tp disini krn semakin rame kualitas pelayanannya semakin menurun apalagi dibagian kasirnya
Saya beli kertas hvs 10rim dan atk lainnya
Pas mau bayar di kasir yg di bagian ATK malah dibilang udah tutup trs sy disuruh ke kasir bagian baju. Anehnya mas kasir dibagian ATK ini melayani pembeli kebutuhan sembako
Trus kenapa ada kasir dibagian ATK tp sy disuruh bayar dikasir yg jauh dan malah ga dilayani, sy beli ATK yg dilayani malah yg beli sembako dan kebutuhan rumah tangga.
Mending ga usah dikasih kasir skalian
Trs kasir yg dibagian ATK ketus bgt, pdhl dia jelas lihat sy bawa kertas dan ATK lainnya. Alasan udah tutup tp melayani 2 antrian pembeli sembako

Mending ke pamela sih sama lengkapnya kasirnya jg jelas, harga jg sama aja

Krn kebetulan lewat mirota c simanjuntak dan sebenernya dah sering belanja dr thn 2002 makin kesni pelayanan makin menurun

Komplain CS jg cm ditanggapi satu kalimat akan disampaikan supervisor

Blas ga da empatinya

Kapokk, bsk2 mending beli di superindo/ pamela klo nyari kebutuhan rumah tangga n sembako atau gramedia klo nyari alat tulis

Memang ada harga ada kualitas termasuk pelayanannya...

Ga akan lagi menginjakkan kaki di mirota :) pegawainya ga da rasa empati sama sekali..",2 minggu lalu
Tintin Mardiana,5,Tempat belanja ibu ibu penuh perhitungan....,2 minggu lalu
Hanji Azl,5,Suka banget disini bisa beli banyak dan muraaaah banget pokoknya recomended banget nah ,3 minggu lalu
Taufik Hidayat Almedy,5,"Sangat rekomendasi disini, karena harga-harga sangat sangat kantong mahasiswa",3 minggu lalu
Andi Nur Bau Massepe,5,dulu sewaktu kuliah sering belanja disijintahi 1999an. sekarang sudah banyak berubah dan lebih modern,3 minggu lalu
Ifthakhur Rizqi,2,"saya sangat senang belanja di manna kampus, bener bener banyak promo dan murah muraah paling murah sedunia pokonya, tapi aku mau kasih kritik nii, kan ada tulisan parkir 1000, kenapa kalau kita kasih 2000 gadikasih kembalian, kalo dikasi 5000 kembaliannya 3000, jadii apakah parkirnya harganya sudah naik menjadi 2000?? mohon penjelasannya *bukan masalah nominal sih",3 minggu lalu
iis siti halimah,5,"Supermarket yg banyak sekali diskonnya..
Lengkap dan variatif barang-barangnya.
Suka sekali belanja disini",3 minggu lalu
Nunung Hendriyati,5,Tempat belanja hemat murah semuanya,Diedit 3 minggu lalu
Monika Kristiani,5,atminnnn aku dari lampunggg main ke Jogja pengen bgtt ke mirotaaa krna rekomendasi dri warlok jogjaaa lohhhhh,4 minggu lalu
Shabrina,3,"Untuk belanja perlengkapan rumah dan dapur cukup lengkap dan harga terjangkau, namun sangat disayangkanayam potong dan gilingnya kurang segar. Semoga bisa lebih baik, terimakasih",sebulan lalu
Chairinia Sabania,4,Lengkap dan harga bersahabat ,sebulan lalu
Riena M Kusumaningsih,5,"Surga belanja kebutuhan bulanan, lengkap ",sebulan lalu
SAKINAH,5,murah2 & Lengkap,sebulan lalu
Uli Rahman,5,Kerenn,sebulan lalu
eny tok,1,"Pelayanan di bagian jam jelek ,udah milih satu persatu jam yang didisplay masak ga ada stok yang baru tinggal yang dipajang , bilang aja males ambil stok , 2 hari langsung mati jam nya buang buang duit,buang buang waktu , ga lagi disini pelayanannya pada males karena mau tutup toko ga mau ambil stok didalem !!!! Tiati beli jam disini ntar rusak rugi wkkw",sebulan lalu
Jingoo Kim (busanani),5,"yeogi syoping hago hanguggabnida
.
.
.
.
.
.
.
.
.
.
.
ssada gaseyo",sebulan lalu
Gieya,5,"selalu kesini dari jaman kuliah dulu,kantinnya jg enak2 masakannya",Diedit sebulan lalu
Resa Pahlawan,5,Swalayan legend,Diedit sebulan lalu
Yakagi,5,"A must go to grocery store if you are a student or live in the city of Yogyakarta. It has everything with cheap price. It has everything, starting from shampoo, bathroom appliances , fruits and vegetables, meats, till rice cooker, and make ups, and lots more.

The parking space is spacious, especially for motorcycle,  the parking price for motorcycle  also very cheap.

The staffs are very friendly,  knowledgeable regarding the store catalogs.  For payment, they can do debit, credit, cash, and Qris.

Overall, I recommend this place.",sebulan lalu
Nurrohma Ningrum,4,Definisi apa yang kamu mau ada. Menyediakan kebutuhan sandang dan pangan. Harganya miring. Selain itu fasilitasnya juga lengkap.,sebulan lalu
anto dimas,5,selalu blanja d sana dan favorit,sebulan lalu
Yudhis Tira,5,harga murah barang berkualitas,sebulan lalu
Chefya Putri,5,"belanja murah,pelayanan ramah",sebulan lalu
sentot hery w,5,"Lengkap, cm antrian dikasir lamaaa bgt, saran tambah meja kasir dong biar tdk terlalu lama antriannya",Diedit sebulan lalu
devi depol,2,"Tau bukan kesalahan pihak karyawan atau pelayanan staff Mirota nya tapi, tapi terakhir ke situ ada pengalaman ga enak pas mau pulang motor pindah parkiran dri dkt pintu keluar eh pindah agak jauh,saya tanya berkali"" ke setiap tukang parkir (sya parkir di dalam) mereka mengelak memindahkan motor, pdhl jelas"" pindah syaa jengkel bgtt, harusnya yg mindahin jelasin atau ngarahin dimana motor saya, tapi mrk bilang motor kalo parkir ga mungkin dipindah"",sampe saya ndegol mangkel nemuin sendiri posisi jauh dri posisi pas saya DTG parkir. MTR bukan brg kecil sepele, warga lokal pun pasti marah kalo MTR knp"" apalagi anak rantau sendirian tiba"" ga tau MTR dimana, kang parkir ga mengakui memindahkan dan ga ngerti kenapa dipindahin jelas""posisi awal ga ada mslah karna parkir di barisan depan.
Mengkhawatirkan bgt! GIMANA HAYO KALO KANG PARKIR GA MENGAKUI MEMINDAHKAN, NAUZUBILLAH ADA ORG MODUS AMBIL MTR ORG KELUAR BILANG KARCIS HILANG& GA BAWA SURAT""? CUMA BYR PARKIR TRS LOLOS GITU? TOLONG DI BRIEFING YA KANG PARKIR NYA",sebulan lalu
nofitriyani,5,Supermarket versi mahasiswa,Diedit sebulan lalu
Ervied SE,4,Komplit... Plit...gak usak kemana-mana disini ada...Mudah dijangkau asal sabar utk parkir mobil antri bebek... Toilet Terbatas silahkan antri ayam...atau ke SPBU terdekat... Semoga kedepan semakin baik fasilitas umumnya.,sebulan lalu
Didik Junaidi,5,"Supermarket yg cukup kompetitif harganya, dengan tata letak produk yg relatif sering dirubah (supaya lebih fresh mungkin utk pengunjung)",sebulan lalu
Aulia,3,Tukang parkir bintang 1 ga ngasih arahan gak bantuin tapi bisa2nya komentarin customer.,sebulan lalu
L. Yuni A (hokii's cakery),5,Swalayan legend sejak jaman mahasiswa sampe skrg masih tetep rame,sebulan lalu
Anisa Rf,5,Selalu balik kesini tiapp belanja bulanan ataupun cuma beli snack. Karenaaa super lengkappp dan harganyaa muraaah paraaaah. Pelayananyaa ramah2,sebulan lalu
Dandi Prayogi,1,Salah satu pegawai pelayan mirota campus yg memakai kacamata mengecewakan dan kurang ramah nanya harga minyak dengan nada ketus. Saya tau kerja pasti capek di grosir cuma saya ke mirota campus untuk belanja kebutuhan rumah bukan untuk diketusin,sebulan lalu
Fawaz Muhammad Sidiqi,5,tempat belanja favorit,sebulan lalu
Anastasia Lita Sungsang A,5,"Halo kaa.. Di sini ada no wa nya ga, biar bisa liat story barang"" Yg sedang promo.
Thnks",sebulan lalu
Ricky Agustian,1,"Melbu parkiran kok 1,5 setengah, tolong laj parkiran di perlebar, makasih",sebulan lalu
F. Jun,5,"Dari dulusampai skrg tetap selalu ramai,best price",Diedit sebulan lalu
Dedy Sutisna,5,Swalayan. Supermarket.Sangat ramai. Produk lengkap. Strategis,sebulan lalu
Hendra Budiman,5,"Daerah mahasiswa UGM
Pasti ramai
Letak strategis, barang lengkap, harga sesuai 6 Mirota lain
Parkir menjadi kendala dan juga lokasi ditikungan jalan ramai",sebulan lalu
nur hikmah,1,Kasirnya lelet bgt jir,sebulan lalu
Yoan Criestyawan,3,"Kasir lantai 3 kurang banyak, antrian terlalu banyak... lorong barang jadi tempat antri bayar, repot mau ambil barang...",sebulan lalu
Maia Maico,5,Walaupun antri kasirnya suka panjang tetep jadi tempat belanja bulanan karna haega murce,sebulan lalu
Hery Setiyawan,5,Supermarket andalan tiap ke jogja. Harga sangat terjangkau. Pelayanan ramah. Ada dekat pintu masuk utara UGM. Kasirnya banyak. Parkir cukup untuk mobil dan motor. D sekitarnya banyak tempat makan.,sebulan lalu
Cantika Anggi Olivia,5,Belanja selalu disini,2 bulan lalu
Eddy Rafa Gunawan,1,parkir mobil susah dan petugasnya tidak ramah,2 bulan lalu
Hersya Via,5,Langganan kl buat belanja bulanan,2 bulan lalu
ichaitem025_,5,"Tempat belanja sejak SD kelas 6 tahun 2003, saat itu naik angkutan Minomartani/ naik jalur A2.

Mirota kampus selalu ada di hati, ketika kuliah sering banget kesini sampai sekarangpun masih suka kesini. Apalagi di hari Jum'at ada diskon khusus untuk beberapa item.

Suasana merah putih, memperingati hari Dirgahayu Republik Indonesia. Ada banyak promo diskon 17%.

Parkiran teradem dan termurah di Jogja, cuma 1000 rupiah aja valid no debat.

Lantai 1 kebutuhan pangan, lantai 2 kebutuhan sandang, kosmetik, ATK dan lantai 3 kebutuhan koper, tas, perabotan dapur dll.

Selalu di mulai dari lantai 3 karena belanjaan ringan, lanjut ke lantai 2 belanja agak berat dan terakhir di lantai 1 belanja terberat.

Jangan lupa bawa kantong belanja sendiri ya, atau jika minta kardus di lantai 1.

Tersedia eskalator untuk naik, dan tangga saat turun.

Ada yg baru, di pintu masuk ada mesin karcis, di pencet sendiri ya gaes.",Diedit 2 bulan lalu
arya seta pratama,1,Ga dapat karcis parkir langsung ditagih 3000 bjir,2 bulan lalu
Laura Simanjuntak,5,"Diskonnya gila gilaan, bikin dompet saya tipis
Harganya worth it pokoknya belanja apapun di sini",2 bulan lalu
Fen Lee,4,"Judule Terjebak dalam rutinitas yang mengular
Memang Sering belanja dsini, krn murah dan lengkap

Terjebaknya nda tau kalau kasir cuma bukak satu,nda kelihatan dari jauh mana saja yg buka,tertutup dengan yg antri,kalau tulisan hijau dr jauh mah ga keliatan ( mungkin hanya saya ya) namun ,jika ada lampu nyala diatas dekat plafon yg menginformasikan kasir mana yg buka, akan  bisa terlihat oleh saya,pengalaman lagi ni,belum lagi kalau dapet troli belanja yang saat diisi barang jadi macet.....wes mangkelke,sdh ngambil tinggal dorong mah seret
Hari ini Setengah jam lebih berdiri antri kasir,harusnya  ada promo dapet es krim kalau lebih dr 45 menit berdiri....hi..hi..hi
Pas dikasir,kasir nda inisiatip naikin barang ke troli,ealah.....capek antri malah endinge spt ini,berat sih ,nda p2 klo bilang ,bantu naikin yo pak,ta bantu wes,nda p2
Tapi apakah SOP nya spt itu,barang masih di ujung kasir saya ngambil sendiri,kalau mmg SOPnya spt itu ya gak papa,tak ambil sendiri. Tapi krn seringnya belanja sudah ada bbrp kasir yg tetep mau ngambilkan barang",2 bulan lalu
Mochi Hamtaro,1,"Tolong kalau emang parkirnya 2000 gambar dikaca tertera 1000 nya mending dihapus aja! Penyakit korupsi dari dulu gak dibrantas. Bayangin aja berapa pelanggan yg dikorupsi dalam sehari. Kemaren pas yang jaga mbak2 aman tuh 1000, mau bayar pakai uang lebih pun tetep amanah. Eh tadi si bapak2 yg jaga gak amanah. Masuk kantong pribadi pak?
Bukan masalah nominal tapi jatuhnya nipu
Pilihannya cuman 2, managementnya harus bertindak tegas / memang dibikin 2000 sekalian.",2 bulan lalu
Fadhil Ahmad muhsin,5,"Supermarket andalan mahasiswa UGM! 
Barangnya lengkap, harga terjangkau, dan lokasinya strategis banget di area kampus. Pelayanannya juga ramah, jadi nyaman buat belanja kebutuhan harian, walaupun emang kadang rame bgtt sampe antri",2 bulan lalu
Agnes Sebastian,3,"Nemu banyak banget barang murce, cocok buat mahasiswa",2 bulan lalu
Dewi Can,5,Mahal seh,2 bulan lalu
Purwanti Pur,2,"mau sedikit sharing

Setiap bulan pasti kesini belanja bulanan walau desak desakan, seringnya rame tp gajadi masalah..

tp ada suatu hal yg bikin jd kecewa adl tukang parkirnya pasti sengak dan ga ramah sama sekali (bayangin seringnya seperti itu)

Dari dulu awal ke mirota simanjuntak selalu bayar parkir 2rb pdhl di babarsari 1.000 tapi ga jadi masalah juga.. tp dari dulu setauku bayarnya 2rb ya ..

nah kebetulan hari ini kemirota siman lagi dan baru ngeh kalau karcis parkir tulisanya ntah dari kapan mulai 1.000. Karna selalu bayar 2rb saya tanya sama tukang parkirnya ""loh pak skrng parkirnya 1.000?"" Beliau menjawab ""2.000!!!"" dengan nada panik dan langsung pergi dan motor saya lgsung di lepas alhasil kepepet motor yg lain 

dan betul saja sampai di posnya sengaja ngasih 2rb ga dikembalikan hehe

bukan perkara uang 1.000 ya kak, cuma better kita bayar sesuai dengan apa yg ada, tolong ya tim managemen ditindak hal2 seperti ini maaf ya kalo emang perlakuan baik ke cust gapapa soalnya kebanyakan tukang parkirnya ga ramah sama sekali SENGAK POLL",2 bulan lalu
Freddienotthefish48,1,"Bapak2 tukang parkir yg udah tua itu pas saya mintain tolong buat keluar in motor malah cuma diliatin dan pergi, padahal dalam keadaan rame, saya cewek kesusahan midahin motor2 besar, malah dicuekin dan pergi terus nolongin yang lain, entah rasis atau gimana saya gatau, tapi saya sering kesini kaya gasuka sama saya pernah marahin gatau karena apa asal jeplak, mohon diperbaiki",2 bulan lalu
Filter Kandang Edifier,4,"Suka banget belanja disini, banyak diskon, cocok buat anak kost, tapi sayang banget penjaga loket pembayaran buat parkirnya engga ramah, masa harga parkirnya seribu tiba"" ditarik 2 ribu, kan ga jelas banget, tolong diperhatikan ya, makasih",2 bulan lalu
Febe,1,"Saya datang ke Mirota Kampus pada hari Sabtu, 4 Oktober 2025 pukul 14.20 dan mendapatkan pelayanan yang sangat mengecewakan oleh karyawan yang bertugas melayani konter penimbangan barang belanjaan.

1. Di konter tempat penimbangan belanjaan, saya sudah mengantre dengan tertib, berada di antara kakak-kakak berjilbab dan ibu-ibu. Karena ada 2 cabang antrean, saya hanya maju mengikuti alur dari orang di depan saya.

2. Karena terdapat 2 cabang antrean dan kondisi antrean saya saat itu memang lebih kosong dibandingkan jalur sebelah, mungkin terlihat seperti saya maju sendiri. Namun, posisi saya jelas tetap mengikuti jalur antrean yang benar, dengan mengikuti alur dari orang yang ada tepat di depan saya.

3. Namun, saya justru dituduh menyerobot antrean. Saat saya membantah, pelayan malah mengelak dan yang saya sayangkan adalah tidak ada permintaan maaf atas tuduhan tersebut.

This was honestly so disappointing. I've been in Jogja for 4 years, shopping here all the time, and in my 21 years of life I've never cut in line, not even once. Being accused like that really broke my heart.

Untuk Kakak Pelayannya, I genuinely wish you success in your career, but please remember that respect and apology matter. I really hope you never get treated the same way you treated me today, wherever you end up working. :)",Diedit 2 bulan lalu
Ity it,5,Sangat mantap,2 bulan lalu
Fagila Iyo,5,Gayss pparkirnya emang sudah 2 ribu kah?,2 bulan lalu
dini putri,4,"Maaf ya aq ratingin bintang 4 karena kecelik 2x. Pertengahan bulan yg kemarin itu aq belanja sprti biasa sayur, & sabun2. Aq juga beli itu tape mentega madu, rasanya enak banget. Namun pas di tgl 01 kmrn niat beli oleh2 stoknya gak ada, saking larisnya kali ya, gak kebagian. Pdhal niat banget mau buat cangkingan pulang.

Biasa aq belanja di Mirota karena dekat, & harganya itu murah dr yg lain.  Dalam sebulan kadang bisa 4-5x belanja. Krna gak ada stok, akhirnya menunda untuk pulang. Jadi libur kuliah cuman di kost2an. Q pending deh pulangnya.

Terus tgl 03 kmrn mencoba datang lagi buat beli tetep gak ada juga. Nah disitulan aq jd kecelik 2x . Karena aq pengin pulang bw oleh2 itu, akhirnya aq coba cari dipamella. Eh ada ternyata tape mentega madu. Cuman dia pakai cup kotak kemasan mika. Kurang estetik sih ya klu buat oleh2. Tapi gpp, yg penting rasanya enak . Nah begitulah ceritaq untuk km Mirota  KECELIK",2 bulan lalu
Andi Haryadi (Aji Jogja),5,Banyak kenangan di sini di setiap lantainya.,2 bulan lalu
