nama_penulis,rating,teks_ulasan,waktu,likes,case_holding_sentimen,sentimen,ulasan_bersih
yussron,5.0,Recommended to find second laptop like new and good condition,a month ago,0,Positif,Positif,recommended to find second laptop like new and good condition
Bayu Prasetyo,5.0,Second laptop recomended secon like a new,3 months ago,0,Netral,Positif,second laptop recomended secon like a new
Galuh Astika,5.0,👍,2 months ago,0,Netral,Positif,
Gayuh Amukti,5.0,Recommended 👍🏼,2 months ago,0,Netral,Positif,recommended
SatriaDarma23 070,5.0,Recommend for all who want to buy newest laptop with affordable price!,2 years ago,0,Netral,Positif,recommend for all who want to buy newest laptop with affordable price
Luqman Hakim,5.0,👍🏻👍🏻,5 months ago,0,Netral,Positif,
Dewi Purnama Sari,5.0,Recommend for all who want to buy newest laptop with affordable price!,3 years ago,0,Netral,Positif,recommend for all who want to buy newest laptop with affordable price
Haryo Dwi Pangestu,5.0,Decent place to shop and great service,8 months ago,0,Positif,Positif,decent place to shop and great service
Bizy_,5.0,Good price and humble,11 months ago,0,Positif,Positif,good price and humble
yulistasya Choirunnisa,5.0,kerenn,2 weeks ago,0,Netral,Positif,kerenn
Abimanyu Bondan,5.0,Great place to search a second hand laptop with a mint condition,3 years ago,0,Positif,Positif,great place to search a second hand laptop with a mint condition
sela amelia mulyana,5.0,recommended place to buy a laptop👍🏻,a month ago,0,Netral,Positif,recommended place to buy a laptop
Akmal Hadrian,5.0,"Amazing eh, all the employees are really humble",9 months ago,0,Positif,Positif,amazing eh all the employees are really humble
Bebas sss,5.0,joss,a month ago,0,Netral,Positif,joss
amanda pasha,5.0,good services and worth to buy,8 months ago,0,Positif,Positif,good services and worth to buy
Annisa Cinta92,5.0,Best,2 weeks ago,0,Positif,Positif,best
Isma Nurfaizatinn,5.0,JOSSSSS,2 months ago,0,Netral,Positif,josssss
Kang cr Cr,5.0,GOOD,a month ago,0,Positif,Positif,good
Muhammad Jarod,5.0,The best place to find a laptop with the best price...,3 years ago,0,Positif,Positif,the best place to find a laptop with the best price
Anggi Surya Permana,5.0,"Nice places and nice price, recomend saller. Product high quality👍",3 years ago,0,Positif,Positif,nice places and nice price recomend saller product high quality
mateus partono,5.0,best,8 months ago,0,Positif,Positif,best
Kholilur Ridwan,5.0,Rekomended for all who want to buy newest laptop with affordable price..,3 years ago,0,Netral,Positif,rekomended for all who want to buy newest laptop with affordable price
Nabila Febriana,5.0,nice,4 months ago,0,Positif,Positif,nice
Radityo D,5.0,Best!,6 months ago,0,Positif,Positif,best
Oey Meng Hooy,5.0,Sip,4 months ago,0,Netral,Positif,sip
Dewangga rystyo,5.0,good,6 months ago,0,Positif,Positif,good
Atadiia Asalam,5.0,Good place to buy leptop,8 months ago,0,Positif,Positif,good place to buy leptop
Sarif Simki,5.0,The best,9 months ago,0,Positif,Positif,the best
min alfin,5.0,"Good, recommended",3 years ago,0,Positif,Positif,good recommended
Nor Ismah,5.0,recommended shop for buying a second hand laptop!,3 years ago,0,Netral,Positif,recommended shop for buying a second hand laptop
Siti Wahyuni,5.0,good best service 👍,a year ago,0,Positif,Positif,good best service
Nizar Fahlevi,5.0,"Good recomend, trusted",3 years ago,0,Positif,Positif,good recomend trusted
goddzi,5.0,nice service maszeh,3 years ago,0,Positif,Positif,nice service maszeh
galih S,5.0,trusted,3 years ago,0,Netral,Positif,trusted
Isti Nuraningsih,5.0,Nice ✌🏻,2 years ago,0,Positif,Positif,nice
andra satrio,5.0,Mantap Recommended 👍👍👍,2 years ago,0,Netral,Positif,mantap recommended
Ulfa Nur Azizah,5.0,The best place to buy a laptop 💯👍,3 years ago,0,Positif,Positif,the best place to buy a laptop
ICHA WIDYA SARI,5.0,sangat recommended,2 years ago,0,Netral,Positif,recommended
Yusuf Firdaus,5.0,Well,9 months ago,0,Netral,Positif,well
Khoirul Ilham,5.0,Joss negone,2 years ago,0,Netral,Positif,joss negone
ASDA 15,5.0,Recommended storee.....,3 years ago,0,Netral,Positif,recommended storee
Muhamad Amir,5.0,The best pokoe,a year ago,0,Positif,Positif,the best pokoe
Aldin Nasrun,5.0,Best place to get a laptop,2 years ago,0,Positif,Positif,best place to get a laptop
Anggi Permana,5.0,Great product,a year ago,0,Positif,Positif,great product
Bagus Kuncoro jati,5.0,Ship,11 months ago,0,Netral,Positif,ship
Jecika Arum,5.0,Good,a year ago,0,Positif,Positif,good
Habib Kurniawan,5.0,Best seller!,4 years ago,0,Positif,Positif,best seller
Dimasmakruf,5.0,gooddddfd,3 years ago,0,Netral,Positif,gooddddfd
Farazdaq Azzahra,5.0,Nice,2 years ago,0,Positif,Positif,nice
Shabrina Kusuma Wardhani,5.0,Recommended 👍,2 years ago,0,Netral,Positif,recommended
Fani Aditama,4.0,Good,2 years ago,0,Positif,Positif,good
Dimas Addien,5.0,Good !!,3 years ago,0,Positif,Positif,good
Bagas Surya,5.0,Good,2 years ago,0,Positif,Positif,good
Nisrina Salsabila,5.0,Very recommended!!!,3 years ago,0,Positif,Positif,very recommended
Karee kar,5.0,recommended seller,3 years ago,0,Netral,Positif,recommended seller
Puji Astuti,5.0,Good,3 years ago,0,Positif,Positif,good
Kinanti Rindang,5.0,Good,3 years ago,0,Positif,Positif,good
Oki_Cahyadi Cahyadi,5.0,Good,3 years ago,0,Positif,Positif,good
SYAFIQ RIDHO,5.0,Well,2 years ago,0,Netral,Positif,well
S. Aji Nugroho,5.0,👍👍👍,2 years ago,0,Netral,Positif,
Nurul Eka Kisya,5.0,Trusted,3 years ago,0,Netral,Positif,trusted
Yusuf Setiawan,5.0,recomendedd,2 years ago,0,Netral,Positif,recomendedd
Sintani Bekti,5.0,like,3 years ago,0,Netral,Positif,like
Novid Dwi Haryanto,5.0,Recommended,3 years ago,0,Netral,Positif,recommended
Maheswari Dian Argani,5.0,excellent!🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,3 years ago,0,Netral,Positif,excellent
MUHAMMAD HIBZAH DASA OKKA,5.0,"Mantap, laptop mereka second hand tapi baramg seperti baru.
Karena mereka memang ambil laptop yang umurnya masih muda, saya beli laptop amd ryzen 7 tahun 2024, di harga 6,7 juta.
Pelayanan excelent, barang juga excelent.
Semoga awet",a month ago,0,Netral,Positif,mantap laptop second hand baramg ambil laptop umur muda beli laptop amd ryzen harga juta layan excelent barang excelent moga awet
Wafa Wardana,5.0,Terbaik. Pilihan utama laptop secondhand berkualitas. Dijelaskan oleh mas nya dgn sabar dan jujur. Offline store nyaman dan sejuk. Top markotop,4 months ago,0,Positif,Positif,baik pilih utama laptop secondhand kualitas mas nya dgn sabar jujur offline store nyaman sejuk top markotop
Azka Rusyda Farsya Kusmayadi,5.0,"Beli laptop disini udah yang ke 2x nya udah beli 3 unit total, bagus banget tokonya, masnya juga informatif. Good Job!!",2 months ago,0,Positif,Positif,beli laptop udah x nya udah beli unit total bagus banget toko mas informatif good job
neviestaa,5.0,"Pengalaman belanja di Hero bener-bener memuaskan. Dari awal tanya-tanya, adminnya sabar jelasin detail laptop sampai akhirnya aku nemu yang paling pas sama kebutuhan kuliah. Prosesnya cepat, barang datang sesuai deskripsi, kondisi mulus dan ori. Harganya juga lebih bersahabat dibanding toko lain yang aku bandingin sebelumnya. Next kalau upgrade laptop, pasti balik lagi ke Hero",a month ago,0,Netral,Positif,alam belanja hero benerbener muas tanyatanya adminnya sabar jelasin detail laptop nemu pas butuh kuliah proses cepat barang sesuai deskripsi kondisi mulus ori harga sahabat banding toko bandingin next upgrade laptop hero
Surya Ramadhani,5.0,"Barang-barang yang di jual bagus² dan masih pada mulus², tempet nya nyaman dan penjual nya pada ramah² dan sangat komunikatif",2 months ago,0,Netral,Positif,barangbarang jual bagus mulus tempet nya nyaman jual nya ramah komunikatif
Muhammad Alfian Nurkholis,5.0,"Jual beli laptop second hand bagus.. Offline storenya nyaman, ber-AC. Pelayanannya pun bagus. Alhamdulillah dapat good deal juga 👍",2 months ago,0,Positif,Positif,jual beli laptop second hand bagus offline storenya nyaman berac layan bagus alhamdulillah good deal
Akmal Soffal,5.0,"Mantap pelayanan ramah, tempat bersih nyaman, unit banyak pilihan sesuai harga dan kebutuhan",2 months ago,0,Netral,Positif,mantap layan ramah bersih nyaman unit pilih sesuai harga butuh
Indira Surya,5.0,"Pelayanan oke
Barang ori masih garansi resmi
Sukses selalu",a month ago,0,Netral,Positif,layan oke barang ori garansi resmi sukses
Rosa Ochaa,5.0,"Konsultasi cari laptop untuk pekerjaan utama, akhirnya disini menemukan laptop second yg cocok, bagus, dan terpercaya.. untuk menentukan pilihan laptop dibantu oleh staf yg sangat komunikatif dan solutif..  di toko ini rekomendasi utama untuk cari laptop terumama bagi pekerja, mahasiswa, pebisnis, dll.. terima kasih hero computer 🙏😊",5 months ago,0,Netral,Positif,konsultasi cari laptop kerja utama temu laptop second yg cocok bagus percaya tentu pilih laptop bantu staf yg komunikatif solutif toko rekomendasi utama cari laptop terumama kerja mahasiswa bisnis dll terima kasih hero computer
Fan Bs.,5.0,"Semua tersedia disini, pelayanannya juga bagus. Di kasih tau apa yang aku ngga tau. Dan harga juga termasuk harga yg bersahabat bgt.",a month ago,0,Netral,Positif,sedia layan bagus kasih tau ngga tau harga harga yg sahabat bgt
Aisya Hanum,5.0,sangat bagus. pelayanan sangat ramah sangat dibantu. tempatnya nyaman dingin. masnya sabar luar biasa. sangat ingormatif🤙🏻💪🏻,a month ago,0,Netral,Positif,bagus layan ramah bantu tempat nyaman dingin mas sabar ingormatif
Irma Novitasari,5.0,"Barang bagus dan kayak baru semua, setelah muter2 akirnya beli disini..mas Rudi seller baik, ramah dan sabar bgt ..good dech pokoknya",4 months ago,0,Netral,Positif,barang bagus kayak muter akirnya beli disinimas rudi seller ramah sabar bgt good dech pokok
ida roikhanah,5.0,pertama kali beli laptop second di sini. dapet yang sesuai sama kebutuhan. mas nya yg jaga jelasinnya sabar banget,3 weeks ago,0,Netral,Positif,kali beli laptop second dapet sesuai butuh mas nya yg jaga jelasinnya sabar banget
