nama_penulis,rating,teks_ulasan,waktu,likes
yussron,5.0,Recommended to find second laptop like new and good condition,a month ago,0
Bayu Prasetyo,5.0,Second laptop recomended secon like a new,3 months ago,0
Galuh Astika,5.0,👍,2 months ago,0
Gayuh Amukti,5.0,Recommended 👍🏼,2 months ago,0
SatriaDarma23 070,5.0,Recommend for all who want to buy newest laptop with affordable price!,2 years ago,0
Luqman Hakim,5.0,👍🏻👍🏻,5 months ago,0
Dewi Purnama Sari,5.0,Recommend for all who want to buy newest laptop with affordable price!,3 years ago,0
Haryo Dwi Pangestu,5.0,Decent place to shop and great service,8 months ago,0
Bizy_,5.0,Good price and humble,11 months ago,0
yulistasya Choirunnisa,5.0,kerenn,2 weeks ago,0
Abimanyu Bondan,5.0,Great place to search a second hand laptop with a mint condition,3 years ago,0
sela amelia mulyana,5.0,recommended place to buy a laptop👍🏻,a month ago,0
Akmal Hadrian,5.0,"Amazing eh, all the employees are really humble",9 months ago,0
Bebas sss,5.0,joss,a month ago,0
amanda pasha,5.0,good services and worth to buy,8 months ago,0
Annisa Cinta92,5.0,Best,2 weeks ago,0
Isma Nurfaizatinn,5.0,JOSSSSS,2 months ago,0
Kang cr Cr,5.0,GOOD,a month ago,0
Muhammad Jarod,5.0,The best place to find a laptop with the best price...,3 years ago,0
Anggi Surya Permana,5.0,"Nice places and nice price, recomend saller. Product high quality👍",3 years ago,0
mateus partono,5.0,best,8 months ago,0
Kholilur Ridwan,5.0,Rekomended for all who want to buy newest laptop with affordable price..,3 years ago,0
Nabila Febriana,5.0,nice,4 months ago,0
Radityo D,5.0,Best!,6 months ago,0
Oey Meng Hooy,5.0,Sip,4 months ago,0
Dewangga rystyo,5.0,good,6 months ago,0
Atadiia Asalam,5.0,Good place to buy leptop,8 months ago,0
Sarif Simki,5.0,The best,9 months ago,0
min alfin,5.0,"Good, recommended",3 years ago,0
Nor Ismah,5.0,recommended shop for buying a second hand laptop!,3 years ago,0
Siti Wahyuni,5.0,good best service 👍,a year ago,0
Nizar Fahlevi,5.0,"Good recomend, trusted",3 years ago,0
goddzi,5.0,nice service maszeh,3 years ago,0
galih S,5.0,trusted,3 years ago,0
Isti Nuraningsih,5.0,Nice ✌🏻,2 years ago,0
andra satrio,5.0,Mantap Recommended 👍👍👍,2 years ago,0
Ulfa Nur Azizah,5.0,The best place to buy a laptop 💯👍,3 years ago,0
ICHA WIDYA SARI,5.0,sangat recommended,2 years ago,0
Yusuf Firdaus,5.0,Well,9 months ago,0
Khoirul Ilham,5.0,Joss negone,2 years ago,0
ASDA 15,5.0,Recommended storee.....,3 years ago,0
Muhamad Amir,5.0,The best pokoe,a year ago,0
Aldin Nasrun,5.0,Best place to get a laptop,2 years ago,0
Anggi Permana,5.0,Great product,a year ago,0
Bagus Kuncoro jati,5.0,Ship,11 months ago,0
Jecika Arum,5.0,Good,a year ago,0
Habib Kurniawan,5.0,Best seller!,4 years ago,0
Dimasmakruf,5.0,gooddddfd,3 years ago,0
Farazdaq Azzahra,5.0,Nice,2 years ago,0
Shabrina Kusuma Wardhani,5.0,Recommended 👍,2 years ago,0
Fani Aditama,4.0,Good,2 years ago,0
Dimas Addien,5.0,Good !!,3 years ago,0
Bagas Surya,5.0,Good,2 years ago,0
Nisrina Salsabila,5.0,Very recommended!!!,3 years ago,0
Karee kar,5.0,recommended seller,3 years ago,0
Puji Astuti,5.0,Good,3 years ago,0
Kinanti Rindang,5.0,Good,3 years ago,0
Oki_Cahyadi Cahyadi,5.0,Good,3 years ago,0
SYAFIQ RIDHO,5.0,Well,2 years ago,0
S. Aji Nugroho,5.0,👍👍👍,2 years ago,0
Nurul Eka Kisya,5.0,Trusted,3 years ago,0
Yusuf Setiawan,5.0,recomendedd,2 years ago,0
Sintani Bekti,5.0,like,3 years ago,0
Novid Dwi Haryanto,5.0,Recommended,3 years ago,0
Maheswari Dian Argani,5.0,excellent!🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,3 years ago,0
MUHAMMAD HIBZAH DASA OKKA,5.0,"Mantap, laptop mereka second hand tapi baramg seperti baru.
Karena mereka memang ambil laptop yang umurnya masih muda, saya beli laptop amd ryzen 7 tahun 2024, di harga 6,7 juta.
Pelayanan excelent, barang juga excelent.
Semoga awet",a month ago,0
Wafa Wardana,5.0,Terbaik. Pilihan utama laptop secondhand berkualitas. Dijelaskan oleh mas nya dgn sabar dan jujur. Offline store nyaman dan sejuk. Top markotop,4 months ago,0
Azka Rusyda Farsya Kusmayadi,5.0,"Beli laptop disini udah yang ke 2x nya udah beli 3 unit total, bagus banget tokonya, masnya juga informatif. Good Job!!",2 months ago,0
neviestaa,5.0,"Pengalaman belanja di Hero bener-bener memuaskan. Dari awal tanya-tanya, adminnya sabar jelasin detail laptop sampai akhirnya aku nemu yang paling pas sama kebutuhan kuliah. Prosesnya cepat, barang datang sesuai deskripsi, kondisi mulus dan ori. Harganya juga lebih bersahabat dibanding toko lain yang aku bandingin sebelumnya. Next kalau upgrade laptop, pasti balik lagi ke Hero",a month ago,0
Surya Ramadhani,5.0,"Barang-barang yang di jual bagus² dan masih pada mulus², tempet nya nyaman dan penjual nya pada ramah² dan sangat komunikatif",2 months ago,0
Muhammad Alfian Nurkholis,5.0,"Jual beli laptop second hand bagus.. Offline storenya nyaman, ber-AC. Pelayanannya pun bagus. Alhamdulillah dapat good deal juga 👍",2 months ago,0
Akmal Soffal,5.0,"Mantap pelayanan ramah, tempat bersih nyaman, unit banyak pilihan sesuai harga dan kebutuhan",2 months ago,0
